,,is_producer
Albania,Tomatoes and products,True
Albania,"Vegetables, Other",True
Albania,Wheat and products,True
Albania,Wine,True
Albania,Wool (Clean Eq.),True
Albania,Yams,False
Algeria,Abaca,False
Algeria,"Alcohol, Non-Food",False
Algeria,Apples and products,True
Algeria,Asses,False
Algeria,Bananas,True
Algeria,Barley and products,True
Algeria,Beans,True
Algeria,Beer,True
Algeria,"Beverages, Alcoholic",False
Algeria,"Beverages, Fermented",False
Algeria,Bovine Meat,True
Algeria,Buffaloes,False
Algeria,"Butter, Ghee",True
Algeria,"Camelids, other",False
Algeria,Camels,True
Algeria,Cassava and products,False
Algeria,Cattle,True
Algeria,"Cereals, Other",True
Algeria,"Citrus, Other",True
Algeria,Cloves,False
Algeria,Cocoa Beans and products,False
Algeria,Coconut Oil,False
Algeria,Coconuts - Incl Copra,False
Algeria,Coffee and products,False
Algeria,Copra Cake,False
Algeria,Cotton lint,True
Algeria,Cottonseed,True
Algeria,Cottonseed Cake,False
Algeria,Cottonseed Oil,False
Algeria,Dates,True
Algeria,Eggs,True
Algeria,"Fats, Animals, Raw",True
Algeria,"Fish, Seafood",True
Algeria,Fodder crops,True
Algeria,"Fruits, Other",True
Algeria,Goats,True
Algeria,Grapefruit and products,True
Algeria,Grapes and products (excl wine),True
Algeria,Grazing,True
Algeria,Groundnut Cake,True
Algeria,Groundnut Oil,True
Algeria,Groundnuts,True
Algeria,"Hard Fibres, Other",False
Algeria,Hides and skins,True
Algeria,Honey,True
Algeria,Hops,False
Algeria,Horses,True
Algeria,Jute,False
Algeria,Jute-Like Fibres,False
Algeria,"Lemons, Limes and products",True
Algeria,Maize Germ Oil,False
Algeria,Maize and products,True
Algeria,"Meat, Other",True
Algeria,Milk - Excluding Butter,True
Algeria,Millet and products,False
Algeria,Mules,False
Algeria,Mutton & Goat Meat,True
Algeria,Nuts and products,True
Algeria,Oats,True
Algeria,"Offals, Edible",True
Algeria,"Oil, palm fruit",False
Algeria,"Oilcrops Oil, Other",True
Algeria,"Oilcrops, Other",False
Algeria,"Oilseed Cakes, Other",False
Algeria,Olive Oil,True
Algeria,Olives (including preserved),True
Algeria,Onions,True
Algeria,"Oranges, Mandarines",True
Algeria,Palm Oil,False
Algeria,Palm kernels,False
Algeria,Palmkernel Cake,False
Algeria,Palmkernel Oil,False
Algeria,Peas,True
Algeria,Pepper,False
Algeria,Pigmeat,False
Algeria,Pigs,True
Algeria,Pimento,True
Algeria,Pineapples and products,False
Algeria,Plantains,False
Algeria,Potatoes and products,True
Algeria,Poultry Birds,True
Algeria,Poultry Meat,True
Algeria,"Pulses, Other and products",True
Algeria,Rabbits and hares,True
Algeria,Rape and Mustard Cake,True
Algeria,Rape and Mustard Oil,True
Algeria,Rape and Mustardseed,True
Algeria,Rice and products,True
Algeria,Ricebran Oil,False
Algeria,"Rodents, other",False
Algeria,"Roots, Other",False
Algeria,Rubber,False
Algeria,Rye and products,False
Algeria,Seed cotton,True
Algeria,Sesame seed,False
Algeria,Sesameseed Cake,False
Algeria,Sesameseed Oil,False
Algeria,Sheep,True
Algeria,Silk,False
Algeria,Sisal,False
Algeria,"Soft-Fibres, Other",False
Algeria,Sorghum and products,True
Algeria,Soyabean Cake,False
Algeria,Soyabean Oil,True
Algeria,Soyabeans,False
Algeria,"Spices, Other",False
Algeria,Sugar (Raw Equivalent),False
Algeria,Sugar beet,False
Algeria,Sugar cane,False
Algeria,Sugar non-centrifugal,False
Algeria,Sunflower seed,True
Algeria,Sunflowerseed Cake,True
Algeria,Sunflowerseed Oil,True
Algeria,Sweet potatoes,False
Algeria,"Sweeteners, Other",True
Algeria,Tea (including mate),False
Algeria,Tobacco,True
Algeria,Tomatoes and products,True
Algeria,"Vegetables, Other",True
Algeria,Wheat and products,True
Algeria,Wine,True
Algeria,Wool (Clean Eq.),True
Algeria,Yams,False
Angola,Abaca,False
Angola,"Alcohol, Non-Food",False
Angola,Apples and products,False
Angola,Asses,False
Angola,Bananas,True
Angola,Barley and products,False
Angola,Beans,True
Angola,Beer,True
Angola,"Beverages, Alcoholic",True
Angola,"Beverages, Fermented",True
Angola,Bovine Meat,True
Angola,Buffaloes,False
Angola,"Butter, Ghee",True
Angola,"Camelids, other",False
Angola,Camels,False
Angola,Cassava and products,True
Angola,Cattle,True
Angola,"Cereals, Other",False
Angola,"Citrus, Other",True
Angola,Cloves,False
Angola,Cocoa Beans and products,True
Angola,Coconut Oil,False
Angola,Coconuts - Incl Copra,False
Angola,Coffee and products,True
Angola,Copra Cake,False
Angola,Cotton lint,True
Angola,Cottonseed,True
Angola,Cottonseed Cake,True
Angola,Cottonseed Oil,True
Angola,Dates,False
Angola,Eggs,True
Angola,"Fats, Animals, Raw",True
Angola,"Fish, Seafood",True
Angola,Fodder crops,False
Angola,"Fruits, Other",True
Angola,Goats,True
Angola,Grapefruit and products,False
Angola,Grapes and products (excl wine),False
Angola,Grazing,True
Angola,Groundnut Cake,True
Angola,Groundnut Oil,True
Angola,Groundnuts,True
Angola,"Hard Fibres, Other",False
Angola,Hides and skins,True
Angola,Honey,True
Angola,Hops,False
Angola,Horses,False
Angola,Jute,False
Angola,Jute-Like Fibres,True
Angola,"Lemons, Limes and products",False
Angola,Maize Germ Oil,False
Angola,Maize and products,True
Angola,"Meat, Other",False
Angola,Milk - Excluding Butter,True
Angola,Millet and products,True
Angola,Mules,True
Angola,Mutton & Goat Meat,True
Angola,Nuts and products,True
Angola,Oats,False
Angola,"Offals, Edible",True
Angola,"Oil, palm fruit",True
Angola,"Oilcrops Oil, Other",True
Angola,"Oilcrops, Other",True
Angola,"Oilseed Cakes, Other",False
Angola,Olive Oil,False
Angola,Olives (including preserved),False
Angola,Onions,True
Angola,"Oranges, Mandarines",False
Angola,Palm Oil,True
Angola,Palm kernels,True
Angola,Palmkernel Cake,True
Angola,Palmkernel Oil,True
Angola,Peas,False
Angola,Pepper,False
Angola,Pigmeat,True
Angola,Pigs,True
Angola,Pimento,False
Angola,Pineapples and products,True
Angola,Plantains,False
Angola,Potatoes and products,True
Angola,Poultry Birds,True
Angola,Poultry Meat,True
Angola,"Pulses, Other and products",True
Angola,Rabbits and hares,False
Angola,Rape and Mustard Cake,False
Angola,Rape and Mustard Oil,False
Angola,Rape and Mustardseed,False
Angola,Rice and products,True
Angola,Ricebran Oil,False
Angola,"Rodents, other",False
Angola,"Roots, Other",False
Angola,Rubber,False
Angola,Rye and products,False
Angola,Seed cotton,True
Angola,Sesame seed,True
Angola,Sesameseed Cake,False
Angola,Sesameseed Oil,False
Angola,Sheep,True
Angola,Silk,False
Angola,Sisal,True
Angola,"Soft-Fibres, Other",False
Angola,Sorghum and products,True
Angola,Soyabean Cake,False
Angola,Soyabean Oil,False
Angola,Soyabeans,True
Angola,"Spices, Other",False
Angola,Sugar (Raw Equivalent),True
Angola,Sugar beet,False
Angola,Sugar cane,True
Angola,Sugar non-centrifugal,False
Angola,Sunflower seed,True
Angola,Sunflowerseed Cake,True
Angola,Sunflowerseed Oil,True
Angola,Sweet potatoes,True
Angola,"Sweeteners, Other",True
Angola,Tea (including mate),False
Angola,Tobacco,True
Angola,Tomatoes and products,True
Angola,"Vegetables, Other",True
Angola,Wheat and products,True
Angola,Wine,False
Angola,Wool (Clean Eq.),False
Angola,Yams,False
Antigua and Barbuda,Abaca,False
Antigua and Barbuda,"Alcohol, Non-Food",False
Antigua and Barbuda,Apples and products,False
Antigua and Barbuda,Asses,False
Antigua and Barbuda,Bananas,True
Antigua and Barbuda,Barley and products,False
Antigua and Barbuda,Beans,False
Antigua and Barbuda,Beer,True
Antigua and Barbuda,"Beverages, Alcoholic",False
Antigua and Barbuda,"Beverages, Fermented",False
Antigua and Barbuda,Bovine Meat,False
Antigua and Barbuda,Buffaloes,False
Antigua and Barbuda,"Butter, Ghee",False
Antigua and Barbuda,"Camelids, other",False
Antigua and Barbuda,Camels,False
Antigua and Barbuda,Cassava and products,True
Antigua and Barbuda,Cattle,True
Antigua and Barbuda,"Cereals, Other",False
Antigua and Barbuda,"Citrus, Other",False
Antigua and Barbuda,Cloves,False
Antigua and Barbuda,Cocoa Beans and products,False
Antigua and Barbuda,Coconut Oil,False
Antigua and Barbuda,Coconuts - Incl Copra,False
Antigua and Barbuda,Coffee and products,False
Antigua and Barbuda,Copra Cake,False
Antigua and Barbuda,Cotton lint,True
Antigua and Barbuda,Cottonseed,True
Antigua and Barbuda,Cottonseed Cake,True
Antigua and Barbuda,Cottonseed Oil,True
Antigua and Barbuda,Dates,False
Antigua and Barbuda,Eggs,True
Antigua and Barbuda,"Fats, Animals, Raw",False
Antigua and Barbuda,"Fish, Seafood",True
Antigua and Barbuda,Fodder crops,False
Antigua and Barbuda,"Fruits, Other",True
Antigua and Barbuda,Goats,True
Antigua and Barbuda,Grapefruit and products,False
Antigua and Barbuda,Grapes and products (excl wine),False
Antigua and Barbuda,Grazing,True
Antigua and Barbuda,Groundnut Cake,False
Antigua and Barbuda,Groundnut Oil,False
Antigua and Barbuda,Groundnuts,False
Antigua and Barbuda,"Hard Fibres, Other",False
Antigua and Barbuda,Hides and skins,True
Antigua and Barbuda,Honey,False
Antigua and Barbuda,Hops,False
Antigua and Barbuda,Horses,True
Antigua and Barbuda,Jute,False
Antigua and Barbuda,Jute-Like Fibres,False
Antigua and Barbuda,"Lemons, Limes and products",True
Antigua and Barbuda,Maize Germ Oil,False
Antigua and Barbuda,Maize and products,True
Antigua and Barbuda,"Meat, Other",False
Antigua and Barbuda,Milk - Excluding Butter,True
Antigua and Barbuda,Millet and products,False
Antigua and Barbuda,Mules,False
Antigua and Barbuda,Mutton & Goat Meat,False
Antigua and Barbuda,Nuts and products,False
Antigua and Barbuda,Oats,False
Antigua and Barbuda,"Offals, Edible",False
Antigua and Barbuda,"Oil, palm fruit",False
Antigua and Barbuda,"Oilcrops Oil, Other",False
Antigua and Barbuda,"Oilcrops, Other",False
Antigua and Barbuda,"Oilseed Cakes, Other",False
Antigua and Barbuda,Olive Oil,False
Antigua and Barbuda,Olives (including preserved),False
Antigua and Barbuda,Onions,True
Antigua and Barbuda,"Oranges, Mandarines",False
Antigua and Barbuda,Palm Oil,False
Antigua and Barbuda,Palm kernels,False
Antigua and Barbuda,Palmkernel Cake,False
Antigua and Barbuda,Palmkernel Oil,False
Antigua and Barbuda,Peas,False
Antigua and Barbuda,Pepper,False
Antigua and Barbuda,Pigmeat,False
Antigua and Barbuda,Pigs,True
Antigua and Barbuda,Pimento,False
Antigua and Barbuda,Pineapples and products,True
Antigua and Barbuda,Plantains,False
Antigua and Barbuda,Potatoes and products,False
Antigua and Barbuda,Poultry Birds,False
Antigua and Barbuda,Poultry Meat,False
Antigua and Barbuda,"Pulses, Other and products",False
Antigua and Barbuda,Rabbits and hares,False
Antigua and Barbuda,Rape and Mustard Cake,False
Antigua and Barbuda,Rape and Mustard Oil,False
Antigua and Barbuda,Rape and Mustardseed,False
Antigua and Barbuda,Rice and products,False
Antigua and Barbuda,Ricebran Oil,False
Antigua and Barbuda,"Rodents, other",False
Antigua and Barbuda,"Roots, Other",True
Antigua and Barbuda,Rubber,False
Antigua and Barbuda,Rye and products,False
Antigua and Barbuda,Seed cotton,True
Antigua and Barbuda,Sesame seed,False
Antigua and Barbuda,Sesameseed Cake,False
Antigua and Barbuda,Sesameseed Oil,False
Antigua and Barbuda,Sheep,True
Antigua and Barbuda,Silk,False
Antigua and Barbuda,Sisal,False
Antigua and Barbuda,"Soft-Fibres, Other",False
Antigua and Barbuda,Sorghum and products,False
Antigua and Barbuda,Soyabean Cake,False
Antigua and Barbuda,Soyabean Oil,False
Antigua and Barbuda,Soyabeans,False
Antigua and Barbuda,"Spices, Other",False
Antigua and Barbuda,Sugar (Raw Equivalent),False
Antigua and Barbuda,Sugar beet,False
Antigua and Barbuda,Sugar cane,False
Antigua and Barbuda,Sugar non-centrifugal,False
Antigua and Barbuda,Sunflower seed,False
Antigua and Barbuda,Sunflowerseed Cake,False
Antigua and Barbuda,Sunflowerseed Oil,False
Antigua and Barbuda,Sweet potatoes,True
Antigua and Barbuda,"Sweeteners, Other",False
Antigua and Barbuda,Tea (including mate),False
Antigua and Barbuda,Tobacco,False
Antigua and Barbuda,Tomatoes and products,True
Antigua and Barbuda,"Vegetables, Other",True
Antigua and Barbuda,Wheat and products,False
Antigua and Barbuda,Wine,False
Antigua and Barbuda,Wool (Clean Eq.),False
Antigua and Barbuda,Yams,True
Argentina,Abaca,False
Argentina,"Alcohol, Non-Food",True
Argentina,Apples and products,True
Argentina,Asses,True
Argentina,Bananas,True
Argentina,Barley and products,True
Argentina,Beans,True
Argentina,Beer,True
Argentina,"Beverages, Alcoholic",True
Argentina,"Beverages, Fermented",True
Argentina,Bovine Meat,True
Argentina,Buffaloes,False
Argentina,"Butter, Ghee",True
Argentina,"Camelids, other",False
Argentina,Camels,True
Argentina,Cassava and products,True
Argentina,Cattle,True
Argentina,"Cereals, Other",True
Argentina,"Citrus, Other",True
Argentina,Cloves,False
Argentina,Cocoa Beans and products,False
Argentina,Coconut Oil,False
Argentina,Coconuts - Incl Copra,False
Argentina,Coffee and products,False
Argentina,Copra Cake,False
Argentina,Cotton lint,True
Argentina,Cottonseed,True
Argentina,Cottonseed Cake,True
Argentina,Cottonseed Oil,True
Argentina,Dates,False
Argentina,Eggs,True
Argentina,"Fats, Animals, Raw",True
Argentina,"Fish, Seafood",True
Argentina,Fodder crops,True
Argentina,"Fruits, Other",True
Argentina,Goats,True
Argentina,Grapefruit and products,True
Argentina,Grapes and products (excl wine),True
Argentina,Grazing,True
Argentina,Groundnut Cake,True
Argentina,Groundnut Oil,True
Argentina,Groundnuts,True
Argentina,"Hard Fibres, Other",True
Argentina,Hides and skins,True
Argentina,Honey,True
Argentina,Hops,True
Argentina,Horses,True
Argentina,Jute,False
Argentina,Jute-Like Fibres,False
Argentina,"Lemons, Limes and products",True
Argentina,Maize Germ Oil,True
Argentina,Maize and products,True
Argentina,"Meat, Other",True
Argentina,Milk - Excluding Butter,True
Argentina,Millet and products,True
Argentina,Mules,True
Argentina,Mutton & Goat Meat,True
Argentina,Nuts and products,True
Argentina,Oats,True
Argentina,"Offals, Edible",True
Argentina,"Oil, palm fruit",False
Argentina,"Oilcrops Oil, Other",True
Argentina,"Oilcrops, Other",True
Argentina,"Oilseed Cakes, Other",True
Argentina,Olive Oil,True
Argentina,Olives (including preserved),True
Argentina,Onions,True
Argentina,"Oranges, Mandarines",True
Argentina,Palm Oil,False
Argentina,Palm kernels,False
Argentina,Palmkernel Cake,False
Argentina,Palmkernel Oil,False
Argentina,Peas,True
Argentina,Pepper,False
Argentina,Pigmeat,True
Argentina,Pigs,True
Argentina,Pimento,True
Argentina,Pineapples and products,True
Argentina,Plantains,False
Argentina,Potatoes and products,True
Argentina,Poultry Birds,True
Argentina,Poultry Meat,True
Argentina,"Pulses, Other and products",True
Argentina,Rabbits and hares,True
Argentina,Rape and Mustard Cake,True
Argentina,Rape and Mustard Oil,True
Argentina,Rape and Mustardseed,True
Argentina,Rice and products,True
Argentina,Ricebran Oil,False
Argentina,"Rodents, other",False
Argentina,"Roots, Other",False
Argentina,Rubber,False
Argentina,Rye and products,True
Argentina,Seed cotton,True
Argentina,Sesame seed,False
Argentina,Sesameseed Cake,False
Argentina,Sesameseed Oil,False
Argentina,Sheep,True
Argentina,Silk,False
Argentina,Sisal,False
Argentina,"Soft-Fibres, Other",True
Argentina,Sorghum and products,True
Argentina,Soyabean Cake,True
Argentina,Soyabean Oil,True
Argentina,Soyabeans,True
Argentina,"Spices, Other",True
Argentina,Sugar (Raw Equivalent),True
Argentina,Sugar beet,False
Argentina,Sugar cane,True
Argentina,Sugar non-centrifugal,False
Argentina,Sunflower seed,True
Argentina,Sunflowerseed Cake,True
Argentina,Sunflowerseed Oil,True
Argentina,Sweet potatoes,True
Argentina,"Sweeteners, Other",True
Argentina,Tea (including mate),True
Argentina,Tobacco,True
Argentina,Tomatoes and products,True
Argentina,"Vegetables, Other",True
Argentina,Wheat and products,True
Argentina,Wine,True
Argentina,Wool (Clean Eq.),True
Argentina,Yams,False
Armenia,Abaca,False
Armenia,"Alcohol, Non-Food",True
Armenia,Apples and products,True
Armenia,Asses,False
Armenia,Bananas,False
Armenia,Barley and products,True
Armenia,Beans,True
Armenia,Beer,True
Armenia,"Beverages, Alcoholic",True
Armenia,"Beverages, Fermented",True
Armenia,Bovine Meat,True
Armenia,Buffaloes,False
Armenia,"Butter, Ghee",False
Armenia,"Camelids, other",False
Armenia,Camels,False
Armenia,Cassava and products,False
Armenia,Cattle,True
Armenia,"Cereals, Other",True
Armenia,"Citrus, Other",False
Armenia,Cloves,False
Armenia,Cocoa Beans and products,False
Armenia,Coconut Oil,False
Armenia,Coconuts - Incl Copra,False
Armenia,Coffee and products,False
Armenia,Copra Cake,False
Armenia,Cotton lint,False
Armenia,Cottonseed,False
Armenia,Cottonseed Cake,False
Armenia,Cottonseed Oil,False
Armenia,Dates,False
Armenia,Eggs,True
Armenia,"Fats, Animals, Raw",True
Armenia,"Fish, Seafood",True
Armenia,Fodder crops,True
Armenia,"Fruits, Other",True
Armenia,Goats,True
Armenia,Grapefruit and products,False
Armenia,Grapes and products (excl wine),True
Armenia,Grazing,True
Armenia,Groundnut Cake,False
Armenia,Groundnut Oil,False
Armenia,Groundnuts,False
Armenia,"Hard Fibres, Other",False
Armenia,Hides and skins,True
Armenia,Honey,True
Armenia,Hops,False
Armenia,Horses,True
Armenia,Jute,False
Armenia,Jute-Like Fibres,False
Armenia,"Lemons, Limes and products",False
Armenia,Maize Germ Oil,False
Armenia,Maize and products,True
Armenia,"Meat, Other",False
Armenia,Milk - Excluding Butter,True
Armenia,Millet and products,False
Armenia,Mules,False
Armenia,Mutton & Goat Meat,True
Armenia,Nuts and products,True
Armenia,Oats,True
Armenia,"Offals, Edible",True
Armenia,"Oil, palm fruit",False
Armenia,"Oilcrops Oil, Other",False
Armenia,"Oilcrops, Other",True
Armenia,"Oilseed Cakes, Other",False
Armenia,Olive Oil,False
Armenia,Olives (including preserved),False
Armenia,Onions,True
Armenia,"Oranges, Mandarines",False
Armenia,Palm Oil,False
Armenia,Palm kernels,False
Armenia,Palmkernel Cake,False
Armenia,Palmkernel Oil,False
Armenia,Peas,True
Armenia,Pepper,False
Armenia,Pigmeat,True
Armenia,Pigs,True
Armenia,Pimento,False
Armenia,Pineapples and products,False
Armenia,Plantains,False
Armenia,Potatoes and products,True
Armenia,Poultry Birds,True
Armenia,Poultry Meat,True
Armenia,"Pulses, Other and products",True
Armenia,Rabbits and hares,False
Armenia,Rape and Mustard Cake,False
Armenia,Rape and Mustard Oil,False
Armenia,Rape and Mustardseed,False
Armenia,Rice and products,False
Armenia,Ricebran Oil,False
Armenia,"Rodents, other",False
Armenia,"Roots, Other",False
Armenia,Rubber,False
Armenia,Rye and products,True
Armenia,Seed cotton,False
Armenia,Sesame seed,False
Armenia,Sesameseed Cake,False
Armenia,Sesameseed Oil,False
Armenia,Sheep,True
Armenia,Silk,False
Armenia,Sisal,False
Armenia,"Soft-Fibres, Other",False
Armenia,Sorghum and products,False
Armenia,Soyabean Cake,False
Armenia,Soyabean Oil,False
Armenia,Soyabeans,False
Armenia,"Spices, Other",False
Armenia,Sugar (Raw Equivalent),True
Armenia,Sugar beet,True
Armenia,Sugar cane,False
Armenia,Sugar non-centrifugal,False
Armenia,Sunflower seed,False
Armenia,Sunflowerseed Cake,True
Armenia,Sunflowerseed Oil,True
Armenia,Sweet potatoes,False
Armenia,"Sweeteners, Other",True
Armenia,Tea (including mate),False
Armenia,Tobacco,True
Armenia,Tomatoes and products,True
Armenia,"Vegetables, Other",True
Armenia,Wheat and products,True
Armenia,Wine,True
Armenia,Wool (Clean Eq.),True
Armenia,Yams,False
Australia,Abaca,False
Australia,"Alcohol, Non-Food",True
Australia,Apples and products,True
Australia,Asses,False
Australia,Bananas,True
Australia,Barley and products,True
Australia,Beans,True
Australia,Beer,True
Australia,"Beverages, Alcoholic",True
Australia,"Beverages, Fermented",True
Australia,Bovine Meat,True
Australia,Buffaloes,True
Australia,"Butter, Ghee",True
Australia,"Camelids, other",False
Australia,Camels,True
Australia,Cassava and products,False
Australia,Cattle,True
Australia,"Cereals, Other",True
Australia,"Citrus, Other",True
Australia,Cloves,False
